Date,District_Name,Today_Positive,Total_Positive,Today_Discharge,Total_Discharge,Total_Active_Cases,Today_Deaths,Total_Deaths,Total_Population
01-07-2020,Bagalakot,1.06,0.11,0.32,0.07,0.04,0.26,0.26,"18,89,752"
02-07-2020,Bagalakot,0.53,0.12,0,0.07,0.05,0.26,0.26,"18,89,752"
03-07-2020,Bagalakot,0.42,0.12,0,0.07,0.05,0.26,0.26,"18,89,752"
04-07-2020,Bagalakot,0,0.12,0,0.07,0.05,0.26,0.26,"18,89,752"
05-07-2020,Bagalakot,0.21,0.12,0.74,0.07,0.05,0.26,0.26,"18,89,752"
06-07-2020,Bagalakot,1.75,0.14,0,0.07,0.06,0.32,0.32,"18,89,752"
07-07-2020,Bagalakot,1.38,0.15,0.21,0.07,0.07,0.37,0.37,"18,89,752"
08-07-2020,Bagalakot,1.27,0.17,0.48,0.08,0.08,0.37,0.37,"18,89,752"
10-07-2020,Bagalakot,0.32,0.19,0,0.08,0.1,0.37,0.37,"18,89,752"
11-07-2020,Bagalakot,1.96,0.21,0,0.08,0.12,0.48,0.48,"18,89,752"
12-07-2020,Bagalakot,0.37,0.21,1.48,0.09,0.11,0.11,0.58,"18,89,752"
13-07-2020,Bagalakot,1.96,0.23,1.64,0.11,0.11,0.11,0.69,"18,89,752"
14-07-2020,Bagalakot,4.13,0.27,0,0.11,0.15,0.21,0.9,"18,89,752"
15-07-2020,Bagalakot,1.8,0.29,0,0.11,0.17,0.16,1.06,"18,89,752"
16-07-2020,Bagalakot,2.06,0.31,0.37,0.11,0.18,0.26,1.32,"18,89,752"
17-07-2020,Bagalakot,1.53,0.33,0,0.11,0.2,0.05,1.38,"18,89,752"
19-07-2020,Bagalakot,3.18,0.36,1.11,0.14,0.21,0.11,1.64,"18,89,752"
20-07-2020,Bagalakot,2.86,0.39,0,0.14,0.24,0.16,1.8,"18,89,752"
21-07-2020,Bagalakot,3.44,0.43,2.86,0.17,0.24,0,1.8,"18,89,752"
22-07-2020,Bagalakot,3.7,0.46,0,0.17,0.28,0.11,1.91,"18,89,752"
23-07-2020,Bagalakot,5.61,0.52,0,0.17,0.33,0,1.91,"18,89,752"
24-07-2020,Bagalakot,9.74,0.62,0,0.17,0.43,0,1.91,"18,89,752"
25-07-2020,Bagalakot,3.02,0.65,8.41,0.25,0.38,0,1.91,"18,89,752"
26-07-2020,Bagalakot,2.17,0.67,8.1,0.33,0.32,0.11,2.01,"18,89,752"
27-07-2020,Bagalakot,1.43,0.68,0.69,0.34,0.32,0.11,2.12,"18,89,752"
28-07-2020,Bagalakot,6.09,0.75,4.6,0.39,0.34,0.11,2.22,"18,89,752"
29-07-2020,Bagalakot,3.02,0.78,1.11,0.4,0.35,0.11,2.33,"18,89,752"
30-07-2020,Bagalakot,6.67,0.84,2.91,0.43,0.39,0.11,2.43,"18,89,752"
31-07-2020,Bagalakot,4.66,0.89,0,0.43,0.44,0.05,2.49,"18,89,752"
01-08-2020,Bagalakot,7.09,0.96,5.34,0.48,0.45,0,2.49,"18,89,752"
02-08-2020,Bagalakot,6.93,1.03,3.18,0.51,0.49,0.11,2.59,"18,89,752"
03-08-2020,Bagalakot,11.06,1.14,3.39,0.55,0.57,0,2.59,"18,89,752"
04-08-2020,Bagalakot,7.62,1.22,1.48,0.56,0.63,0.05,2.65,"18,89,752"
05-08-2020,Bagalakot,7.88,1.29,2.22,0.58,0.69,0,2.65,"18,89,752"
06-08-2020,Bagalakot,8.89,1.38,1.75,0.6,0.76,0.05,2.7,"18,89,752"
07-08-2020,Bagalakot,7.83,1.46,4.45,0.64,0.79,0,2.7,"18,89,752"
08-08-2020,Bagalakot,7.88,1.54,19.9,0.84,0.67,0,2.7,"18,89,752"
09-08-2020,Bagalakot,7.88,1.62,2.54,0.87,0.72,0,2.7,"18,89,752"
10-08-2020,Bagalakot,7.78,1.7,17.62,1.05,0.62,0.05,2.75,"18,89,752"
11-08-2020,Bagalakot,7.14,1.77,8.36,1.13,0.61,0.05,2.8,"18,89,752"
12-08-2020,Bagalakot,9,1.86,11.22,1.24,0.59,0,2.8,"18,89,752"
13-08-2020,Bagalakot,7.57,1.93,8.57,1.33,0.58,0.05,2.86,"18,89,752"
14-08-2020,Bagalakot,9.05,2.02,15.66,1.48,0.51,0,2.86,"18,89,752"
15-08-2020,Bagalakot,8.89,2.11,7.3,1.56,0.53,0,2.86,"18,89,752"
16-08-2020,Bagalakot,8.26,2.2,2.33,1.58,0.59,0,2.86,"18,89,752"
17-08-2020,Bagalakot,8.68,2.28,5.34,1.63,0.62,0.05,2.91,"18,89,752"
18-08-2020,Bagalakot,9.05,2.37,13.97,1.77,0.57,0.05,2.96,"18,89,752"
19-08-2020,Bagalakot,8.63,2.46,15.93,1.93,0.5,0,2.96,"18,89,752"
20-08-2020,Bagalakot,8.41,2.54,15.72,2.09,0.42,0,2.96,"18,89,752"
21-08-2020,Bagalakot,6.09,2.6,4.29,2.13,0.44,0,2.96,"18,89,752"
22-08-2020,Bagalakot,7.3,2.68,6.46,2.2,0.45,0.05,3.02,"18,89,752"
23-08-2020,Bagalakot,7.36,2.75,7.41,2.27,0.45,0.05,3.07,"18,89,752"
24-08-2020,Bagalakot,2.8,2.78,6.88,2.34,0.41,0.16,3.23,"18,89,752"
25-08-2020,Bagalakot,4.39,2.82,4.07,2.38,0.41,0,3.23,"18,89,752"
26-08-2020,Bagalakot,8.15,2.9,5.03,2.43,0.44,0.26,3.49,"18,89,752"
27-08-2020,Bagalakot,6.4,2.97,6.3,2.49,0.44,0.16,3.65,"18,89,752"
28-08-2020,Bagalakot,7.83,3.05,7.46,2.57,0.44,0.16,3.81,"18,89,752"
29-08-2020,Bagalakot,8.04,3.13,7.3,2.64,0.45,0.05,3.86,"18,89,752"
30-08-2020,Bagalakot,6.99,3.2,9.74,2.74,0.42,0,3.86,"18,89,752"
31-08-2020,Bagalakot,9.1,3.29,11.06,2.85,0.4,0.05,3.92,"18,89,752"
01-09-2020,Bagalakot,7.2,3.36,4.29,2.89,0.43,0.11,4.02,"18,89,752"
02-09-2020,Bagalakot,8.78,3.45,4.6,2.94,0.47,0,4.02,"18,89,752"
03-09-2020,Bagalakot,6.51,3.51,4.18,2.98,0.49,0.05,4.07,"18,89,752"
04-09-2020,Bagalakot,5.19,3.57,5.24,3.03,0.49,0.05,4.13,"18,89,752"
06-09-2020,Bagalakot,9.53,3.74,7.57,3.14,0.55,0,4.23,"18,89,752"
07-09-2020,Bagalakot,6.67,3.8,6.67,3.21,0.55,0.05,4.29,"18,89,752"
08-09-2020,Bagalakot,11.22,3.92,8.73,3.3,0.58,0,4.29,"18,89,752"
09-09-2020,Bagalakot,11.59,4.03,8.94,3.38,0.6,0.11,4.39,"18,89,752"
10-09-2020,Bagalakot,4.07,4.07,5.72,3.44,0.59,0.05,4.45,"18,89,752"
11-09-2020,Bagalakot,9.95,4.17,6.83,3.51,0.62,0.05,4.5,"18,89,752"
12-09-2020,Bagalakot,9.26,4.26,6.19,3.57,0.65,0,4.5,"18,89,752"
13-09-2020,Bagalakot,8.73,4.35,2.75,3.6,0.71,0,4.5,"18,89,752"
14-09-2020,Bagalakot,8.78,4.44,7.73,3.68,0.72,0.16,4.66,"18,89,752"
15-09-2020,Bagalakot,0,4.44,0,3.68,0.72,0,4.66,"18,89,752"
16-09-2020,Bagalakot,8.36,4.52,0,3.68,0.8,0,4.71,"18,89,752"
17-09-2020,Bagalakot,12.38,4.65,35.51,4.03,0.57,0.21,4.92,"18,89,752"
18-09-2020,Bagalakot,10.9,4.76,5.93,4.09,0.61,0.16,5.08,"18,89,752"
19-09-2020,Bagalakot,8.04,4.84,2.86,4.12,0.67,0.05,5.13,"18,89,752"
